name,iteration,durationMs
q1,1,48324
q10,1,24068
q11,1,93678
q12,1,7629
q13,1,17826
q14a,1,105384
q14b,1,93361
q15,1,10501
q16,1,79167
q17,1,22953
q18,1,21865
q19,1,6800
q2,1,28779
q20,1,3981
q21,1,6805
q22,1,10002
q23a,1,360098
q23b,1,355422
q24a,1,81431
q24b,1,74271
q25,1,18908
q26,1,12556
q27,1,11963
q28,1,134823
q29,1,36109
q3,1,4196
q30,1,15388
q31,1,20718
q32,1,2844
q33,1,7491
q34,1,1817
q35,1,25270
q36,1,11327
q37,1,11525
q38,1,52317
q39a,1,8659
q39b,1,9288
q4,1,183873
q40,1,12274
q41,1,1555
q42,1,2521
q43,1,7108
q44,1,47267
q45,1,9422
q46,1,1687
q47,1,20831
q48,1,14997
q49,1,17192
q5,1,30993
q50,1,96178
q51,1,28939
q52,1,3050
q53,1,6237
q54,1,10682
q55,1,2319
q56,1,4617
q57,1,15105
q58,1,5700
q59,1,29184
q6,1,9181
q60,1,6570
q61,1,6088
q62,1,11260
q63,1,5543
q64,1,68228
q65,1,59751
q66,1,15409
q67,1,297832
q68,1,1859
q69,1,11281
q7,1,12145
q70,1,17736
q71,1,6756
q72,1,50673
q73,1,1468
q74,1,73890
q75,1,70034
q76,1,50594
q77,1,8875
q78,1,197122
q79,1,12803
q8,1,10277
q80,1,45543
q81,1,18567
q82,1,14438
q83,1,4337
q84,1,9692
q85,1,13831
q86,1,6291
q87,1,52979
q88,1,93810
q89,1,7045
q9,1,169570
q90,1,10747
q91,1,7387
q92,1,2537
q93,1,108574
q94,1,39968
q95,1,106012
q96,1,14948
q97,1,72555
q98,1,5398
q99,1,21441
q1,2,8461
q10,2,9829
q11,2,82509
q12,2,3142
q13,2,15711
q14a,2,99105
q14b,2,90793
q15,2,10063
q16,2,74586
q17,2,22771
q18,2,20262
q19,2,6580
q2,2,27330
q20,2,3869
q21,2,3089
q22,2,10191
q23a,2,358384
q23b,2,358604
q24a,2,82830
q24b,2,75510
q25,2,16847
q26,2,10610
q27,2,12423
q28,2,130104
q29,2,36435
q3,2,3942
q30,2,13603
q31,2,21860
q32,2,7188
q33,2,7405
q34,2,1458
q35,2,25775
q36,2,11863
q37,2,10773
q38,2,52614
q39a,2,9333
q39b,2,8571
q4,2,185321
q40,2,12041
q41,2,1523
q42,2,3442
q43,2,7251
q44,2,46658
q45,2,8455
q46,2,1629
q47,2,19590
q48,2,14987
q49,2,17372
q5,2,28638
q50,2,95552
q51,2,26808
q52,2,4883
q53,2,11516
q54,2,9891
q55,2,2230
q56,2,5027
q57,2,15618
q58,2,5094
q59,2,28921
q6,2,8710
q60,2,6466
q61,2,7331
q62,2,10977
q63,2,6116
q64,2,66131
q65,2,59779
q66,2,13286
q67,2,297400
q68,2,1992
q69,2,11456
q7,2,11695
q70,2,17458
q71,2,6233
q72,2,49547
q73,2,1480
q74,2,73270
q75,2,69738
q76,2,48647
q77,2,5000
q78,2,193611
q79,2,12083
q8,2,9393
q80,2,45028
q81,2,18577
q82,2,14691
q83,2,4553
q84,2,9310
q85,2,13891
q86,2,6191
q87,2,52526
q88,2,91052
q89,2,6999
q9,2,167103
q90,2,9979
q91,2,6915
q92,2,2187
q93,2,108090
q94,2,39052
q95,2,106514
q96,2,14205
q97,2,72357
q98,2,5701
q99,2,20126
q1,3,8835
q10,3,10194
q11,3,81978
q12,3,2960
q13,3,15527
q14a,3,99374
q14b,3,92119
q15,3,10186
q16,3,73849
q17,3,23007
q18,3,20853
q19,3,6583
q2,3,27350
q20,3,4058
q21,3,3194
q22,3,9788
q23a,3,360204
q23b,3,358062
q24a,3,81108
q24b,3,75337
q25,3,18100
q26,3,10478
q27,3,10591
q28,3,131433
q29,3,34660
q3,3,4203
q30,3,13238
q31,3,21866
q32,3,2681
q33,3,7252
q34,3,2255
q35,3,24623
q36,3,11024
q37,3,10740
q38,3,52382
q39a,3,8779
q39b,3,8091
q4,3,184608
q40,3,12174
q41,3,1645
q42,3,2258
q43,3,6697
q44,3,46252
q45,3,9337
q46,3,1855
q47,3,19971
q48,3,14451
q49,3,17456
q5,3,27813
q50,3,95408
q51,3,27194
q52,3,2843
q53,3,6504
q54,3,10802
q55,3,2145
q56,3,4794
q57,3,14703
q58,3,5305
q59,3,28876
q6,3,8996
q60,3,6490
q61,3,6062
q62,3,9461
q63,3,5565
q64,3,65428
q65,3,60205
q66,3,13097
q67,3,296953
q68,3,1996
q69,3,10481
q7,3,11838
q70,3,17612
q71,3,6348
q72,3,49215
q73,3,1407
q74,3,72779
q75,3,67351
q76,3,46871
q77,3,5393
q78,3,194771
q79,3,12483
q8,3,9659
q80,3,44486
q81,3,18134
q82,3,14617
q83,3,4076
q84,3,9611
q85,3,13745
q86,3,5896
q87,3,52672
q88,3,89295
q89,3,6840
q9,3,167319
q90,3,9565
q91,3,7297
q92,3,2846
q93,3,107843
q94,3,37779
q95,3,106041
q96,3,14312
q97,3,71915
q98,3,5431
q99,3,19970
