name,iteration,durationMs
drop-database,1,3115
create-database,1,222
drop-table-call_center,1,354
create-table-call_center,1,18243
drop-table-catalog_page,1,32
create-table-catalog_page,1,9053
drop-table-catalog_returns,1,38
create-table-catalog_returns,1,101473
drop-table-catalog_sales,1,23
create-table-catalog_sales,1,763730
drop-table-customer,1,20
create-table-customer,1,29272
drop-table-customer_address,1,22
create-table-customer_address,1,44083
drop-table-customer_demographics,1,29
create-table-customer_demographics,1,7383
drop-table-date_dim,1,21
create-table-date_dim,1,4187
drop-table-household_demographics,1,17
create-table-household_demographics,1,3002
drop-table-income_band,1,21
create-table-income_band,1,2514
drop-table-inventory,1,15
create-table-inventory,1,29565
drop-table-item,1,16
create-table-item,1,11165
drop-table-promotion,1,20
create-table-promotion,1,2554
drop-table-reason,1,17
create-table-reason,1,2774
drop-table-ship_mode,1,17
create-table-ship_mode,1,2935
drop-table-store,1,17
create-table-store,1,2808
drop-table-store_returns,1,23
create-table-store_returns,1,132124
drop-table-store_sales,1,17
create-table-store_sales,1,998145
drop-table-time_dim,1,17
create-table-time_dim,1,3222
drop-table-warehouse,1,14
create-table-warehouse,1,2796
drop-table-web_page,1,18
create-table-web_page,1,2734
drop-table-web_returns,1,17
create-table-web_returns,1,49630
drop-table-web_sales,1,21
create-table-web_sales,1,376951
drop-table-web_site,1,16
create-table-web_site,1,2326
,1,17
,1,107
