name,iteration,durationMs
q1,1,52501
q10,1,638750
q11,1,215575
q12,1,26618
q13,1,133314
q14a,1,656805
q14b,1,581617
q15,1,96011
q16,1,393005
q17,1,245867
q18,1,88927
q19,1,67947
q2,1,43985
q20,1,41228
q21,1,25431
q22,1,27798
q23a,1,614310
q23b,1,612041
q24a,1,286206
q24b,1,277737
q25,1,257552
q26,1,60779
q27,1,102532
q28,1,339384
q29,1,251263
q3,1,48895
q30,1,29070
q31,1,155990
q32,1,56372
q33,1,100376
q34,1,2071
q35,1,613973
q36,1,88631
q37,1,45873
q38,1,88275
q39a,1,38581
q39b,1,36518
q4,1,420381
q40,1,58982
q41,1,1373
q42,1,47025
q43,1,37229
q44,1,95077
q45,1,55376
q46,1,1997
q47,1,205676
q48,1,104666
q49,1,218870
q5,1,169862
q50,1,159693
q51,1,76259
q52,1,46818
q53,1,50839
q54,1,152122
q55,1,44344
q56,1,98977
q57,1,102664
q58,1,171521
q59,1,54079
q6,1,95553
q60,1,103152
q61,1,134892
q62,1,17865
q63,1,51602
q64,1,333641
q65,1,147827
q66,1,77189
q67,1,399823
q68,1,1958
q69,1,597517
q7,1,106792
q70,1,79379
q71,1,114248
q72,1,3313883
q73,1,2679
q74,1,184826
q75,1,253834
q76,1,111691
q77,1,122573
q78,1,479590
q79,1,99008
q8,1,40554
q80,1,247560
q81,1,31487
q82,1,74579
q83,1,28460
q84,1,13690
q85,1,48118
q86,1,22994
q87,1,90021
q88,1,320102
q89,1,66476
q9,1,426058
q90,1,27511
q91,1,15043
q92,1,30076
q93,1,182192
q94,1,197632
q95,1,162054
q96,1,46098
q97,1,123688
q98,1,74015
q99,1,34661
q1,2,30350
q10,2,605261
q11,2,213580
q12,2,24348
q13,2,132953
q14a,2,666971
q14b,2,587529
q15,2,96371
q16,2,401106
q17,2,249980
q18,2,93248
q19,2,66551
q2,2,43609
q20,2,41651
q21,2,25830
q22,2,27914
q23a,2,624615
q23b,2,633832
q24a,2,289120
q24b,2,283066
q25,2,260450
q26,2,60271
q27,2,103670
q28,2,340177
q29,2,252452
q3,2,55472
q30,2,28457
q31,2,160817
q32,2,55731
q33,2,100148
q34,2,1928
q35,2,621331
q36,2,87448
q37,2,46442
q38,2,89392
q39a,2,39385
q39b,2,37449
q4,2,426607
q40,2,60301
q41,2,1677
q42,2,47394
q43,2,38668
q44,2,96541
q45,2,56366
q46,2,1951
q47,2,207517
q48,2,106115
q49,2,224028
q5,2,171508
q50,2,160567
q51,2,76867
q52,2,46126
q53,2,53236
q54,2,154028
q55,2,45232
q56,2,99872
q57,2,104791
q58,2,174599
q59,2,56647
q6,2,91049
q60,2,102446
q61,2,135834
q62,2,18220
q63,2,51918
q64,2,339325
q65,2,149752
q66,2,77616
q67,2,407828
q68,2,1933
q69,2,610484
q7,2,108101
q70,2,80970
q71,2,119326
q72,2,3301915
q73,2,2308
q74,2,177263
q75,2,251984
q76,2,135091
q77,2,114769
q78,2,483997
q79,2,97486
q8,2,40332
q80,2,247624
q81,2,30309
q82,2,77607
q83,2,27339
q84,2,13052
q85,2,48555
q86,2,22867
q87,2,89927
q88,2,317044
q89,2,66417
q9,2,422328
q90,2,26880
q91,2,15032
q92,2,29065
q93,2,182638
q94,2,196284
q95,2,166448
q96,2,44651
q97,2,125562
q98,2,74267
q99,2,35004
q1,3,30468
q10,3,602643
q11,3,212943
q12,3,23497
q13,3,132901
q14a,3,656792
q14b,3,592683
q15,3,96782
q16,3,398554
q17,3,244821
q18,3,94131
q19,3,68261
q2,3,43912
q20,3,41684
q21,3,25542
q22,3,27161
q23a,3,622475
q23b,3,628449
q24a,3,286787
q24b,3,282163
q25,3,263727
q26,3,59792
q27,3,102589
q28,3,341397
q29,3,250429
q3,3,49131
q30,3,25957
q31,3,155878
q32,3,54570
q33,3,99971
q34,3,1546
q35,3,615647
q36,3,86683
q37,3,46088
q38,3,88739
q39a,3,38647
q39b,3,37450
q4,3,427677
q40,3,59723
q41,3,1446
q42,3,47983
q43,3,37425
q44,3,95787
q45,3,55843
q46,3,1702
q47,3,202962
q48,3,107195
q49,3,223812
q5,3,172239
q50,3,159852
q51,3,75656
q52,3,45099
q53,3,56178
q54,3,154873
q55,3,45180
q56,3,100857
q57,3,105712
q58,3,175342
q59,3,54446
q6,3,91151
q60,3,101893
q61,3,135328
q62,3,18299
q63,3,52498
q64,3,338501
q65,3,149274
q66,3,78494
q67,3,401049
q68,3,1759
q69,3,611293
q7,3,107479
q70,3,80321
q71,3,115081
q72,3,3279361
q73,3,2747
q74,3,173671
q75,3,251765
q76,3,108553
q77,3,117542
q78,3,484841
q79,3,97744
q8,3,39870
q80,3,245009
q81,3,29592
q82,3,82218
q83,3,27023
q84,3,13155
q85,3,48278
q86,3,24329
q87,3,89370
q88,3,316645
q89,3,66490
q9,3,422388
q90,3,26507
q91,3,14587
q92,3,30458
q93,3,183830
q94,3,197223
q95,3,162271
q96,3,44787
q97,3,126816
q98,3,74425
q99,3,34725
